speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory,vernacularNameEl,source_El
2337607,Silurus glanis,10300,Wels Catfish,,https://inaturalist-open-data.s3.amazonaws.com/photos/216296689/medium.jpg,https://www.inaturalist.org/observations/127414729,,Bony fish,LC,Γουλιανός,Wikidata
2385069,Lutjanus argentimaculatus,9994,Mangrove Red Snapper,,,,,Bony fish,LC,No Greek name,No Greek name
5215777,Rhinoptera bonasus,9942,Cownose Ray,,https://inaturalist-open-data.s3.amazonaws.com/photos/345595201/medium.jpeg,https://www.inaturalist.org/observations/196316814,bryndevon404,Sharks & Rays,VU,No Greek name,No Greek name
2418173,Carcharhinus brachyurus,9904,Bronze Whaler,,,,,Sharks & Rays,VU,καρχαρίνος ο βραχύουρος,Wikidata
2418792,Sphyrna mokarran,9702,Great Hammerhead,,,,,Sharks & Rays,CR,Μεγαλοζύγαινα,Wikidata
2412708,Alosa aestivalis,9551,Blueback Shad,,https://inaturalist-open-data.s3.amazonaws.com/photos/286735362/medium.jpeg,https://www.inaturalist.org/observations/165634438,,Bony fish,VU,No Greek name,No Greek name
2381233,Girella tricuspidata,9509,Luderick,,,,,Bony fish,,No Greek name,No Greek name
4286975,Cyprinus carpio,9437,European Carp,,https://inaturalist-open-data.s3.amazonaws.com/photos/2754663/medium.JPG,https://www.inaturalist.org/observations/2461905,,Bony fish,LC,κυπρίνος,Wikidata
9770885,Pagrus auratus,9099,Australasian Snapper,,,,,Bony fish,LC,Φαγκρί Νέας Ζηλανδίας,https://fish-commercial-names.ec.europa.eu/fish-names/species/pagrus-auratus_el
2419095,Trygonorrhina fasciata,9053,Banjo Ray,,,,,Sharks & Rays,LC,No Greek name,No Greek name
2434814,Mirounga leonina,9033,Southern Elephant Seal,,,,,Marine mammals,LC,Θαλάσσιος ελέφαντας,Wikidata
2390341,Scarus rivulatus,8950,Surf Parrotfish,,,,,Bony fish,LC,Κουρκούνα άσπρη,https://fish-commercial-names.ec.europa.eu/fish-names/species/siganus-rivulatus_el?fao-code=SRI
8189568,Mugil cephalus,7599,Sea Mullet,,,,,Bony fish,LC,Κέφαλος,Wikidata
2418041,Carcharhinus fitzroyensis,7587,Creek Whaler,,,,,Sharks & Rays,LC,No Greek name,No Greek name
2374857,Lethrinus miniatus,7440,Redthroat Emperor,,,,,Bony fish,LC,No Greek name,No Greek name
9241141,Mobula alfredi,7403,Reef Manta Ray,,,,,Sharks & Rays,VU,Σαλάχι μάντα,https://el.wikipedia.org/wiki/%CE%A3%CE%B1%CE%BB%CE%AC%CF%87%CE%B9_%CE%BC%CE%AC%CE%BD%CF%84%CE%B1
2344917,Hemiarius dioctes,7022,Warrior Catfish,,,,,Bony fish,,No Greek name,No Greek name
2434816,Erignathus barbatus,6984,Bearded Seal,,https://inaturalist-open-data.s3.amazonaws.com/photos/309399899/medium.jpg,https://www.inaturalist.org/observations/177862083,Sebastián Lescano,Marine mammals,NT,Γενειοφόρος φώκια,Wikidata
5210118,Plectropomus maculatus,6929,Spotted Coral Grouper,,,,,Bony fish,LC,No Greek name,No Greek name
2441266,Neoceratodus forsteri,6258,Australian Lungfish,,,,,Bony fish,EN,No Greek name,No Greek name
2420600,Notorynchus cepedianus,6106,Broadnose Sevengill Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/15570417/medium.jpg,https://www.inaturalist.org/observations/11036668,rowanwattpringle,Sharks & Rays,VU,No Greek name,No Greek name
2418771,Paragaleus pectoralis,6097,Atlantic Weasel Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/304095379/medium.jpeg,https://www.inaturalist.org/observations/175001093,,Sharks & Rays,EN,No Greek name,No Greek name
2481418,Pelecanoides urinatrix,6093,Common Diving Petrel,,https://inaturalist-open-data.s3.amazonaws.com/photos/461796328/medium.jpeg,https://www.inaturalist.org/observations/257430741,ou.wildlife,Birds,LC,No Greek name,No Greek name
2440669,Phocoena phocoena,5933,Harbour Porpoise,,,,,Marine mammals,LC,Φώκαινα,SeaLifeBase
2440440,Pseudorca crassidens,5774,False Killer Whale,,https://inaturalist-open-data.s3.amazonaws.com/photos/167153562/medium.jpg,https://www.inaturalist.org/observations/100173317,fernando_elorriaga,Marine mammals,NT,Ψευδόρκα,SeaLifeBase
2391729,Rachycentron canadum,5639,Cobia,,https://inaturalist-open-data.s3.amazonaws.com/photos/529527003/medium.jpg,https://www.inaturalist.org/observations/294201524,,Bony fish,LC,Κόμπια,translated from English
5220086,Megaptera novaeangliae,5584,Humpback Whale,,,,,Marine mammals,LC,Μεγάπτερη,Wikidata
2421365,Lampetra fluviatilis,5505,European River Lamprey,,https://inaturalist-open-data.s3.amazonaws.com/photos/492846946/medium.jpeg,https://www.inaturalist.org/observations/274114540,,Bony fish,NT,Ποταμολάμπραινα,FishBase
2418005,Carcharhinus obscurus,5494,Dusky Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/10584611/medium.jpg,https://www.inaturalist.org/observations/8000290,stephencoutts,Sharks & Rays,EN,Σκοτεινός καρχαρίας,Wikidata
9789983,Dermochelys coriacea,5471,Leatherback Sea Turtle,,,,,Reptiles,VU,δερματοχελώνα,Wikidata
8841716,Eretmochelys imbricata,5187,Hawksbill Sea Turtle,,,,,Reptiles,CR,Κεραμοχελώνα,SeaLifeBase
5201386,Platycephalus caeruleopunctatus,5163,Bluespotted Flathead,,,,,Bony fish,,No Greek name,No Greek name
2442153,Lepidochelys olivacea,5076,Olive Ridley Sea Turtle,,,,,Reptiles,VU,Λεπιδόχελυς του Ειρηνικού,https://el.wikipedia.org/wiki/%CE%98%CE%B1%CE%BB%CE%AC%CF%83%CF%83%CE%B9%CE%B1_%CF%87%CE%B5%CE%BB%CF%8E%CE%BD%CE%B1
9729967,Dugong dugon,5040,Dugong,,,,,Marine mammals,VU,Ντιγκόνγκ,Wikidata
2418942,Rhynchobatus australiae,4963,Whitespotted Guitarfish,,,,,Sharks & Rays,CR,No Greek name,No Greek name
5961708,Seriola lalandi,4851,Yellowtail Kingfish,,,,,Bony fish,LC,Μαγιάτικο της Αυστραλίας,Wikidata
2381302,Kyphosus sydneyanus,4709,Silver Drummer,,,,,Bony fish,,No Greek name,No Greek name
2390315,Siganus doliatus,4661,Barred Rabbitfish,,,,,Bony fish,LC,No Greek name,No Greek name
2390805,Caranx ignobilis,4549,Giant Trevally,,,,,Bony fish,LC,No Greek name,No Greek name
2481912,Ciconia ciconia,4461,European White Stork,,https://inaturalist-open-data.s3.amazonaws.com/photos/593174925/medium.jpg,https://www.inaturalist.org/observations/327419069,Tim Taslimi,Birds,LC,Λευκοπελαργός,Wikidata
2394604,Morone americana,4396,White Perch,,https://inaturalist-open-data.s3.amazonaws.com/photos/209801095/medium.jpg,https://www.inaturalist.org/observations/123818203,,Bony fish,LC,Λευκή πέρκα,https://el.wikipedia.org/wiki/%CE%9C%CE%BF%CF%81%CE%BF%CE%BD%CE%AF%CE%B4%CE%B5%CF%82
2435270,Acinonyx jubatus,4355,Cheetah,,https://inaturalist-open-data.s3.amazonaws.com/photos/175608470/medium.jpeg,https://www.inaturalist.org/observations/104758896,Justin Ponder,Terrestrial mammals,VU,Γατόπαρδος,Wikidata
2365685,Squalius cephalus,4261,European Chub,,https://inaturalist-open-data.s3.amazonaws.com/photos/401038364/medium.jpg,https://www.inaturalist.org/observations/226146898,,Bony fish,LC,Κέφαλος,FishBase
