taxonKey,species,englishName,imageSrc,imageUrl,imageBy,license,numberOfOccurrences
2391092,Lichia amia,Leerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/190268220/large.jpg,https://www.inaturalist.org/observations/112637919,Roberto Pillon,cc-by-nc,496
5711980,Oncorhynchus clarkii,Coastal Cutthroat Trout,,,,,493
4284020,Salvelinus malma,Dolly Varden,,,,,460
9245001,Hypanus sabinus,Atlantic Stingray,,,,,388
2434793,Phoca vitulina,Harbor Seal,,,,,318
2418312,Mustelus canis,Dusky Smooth-Hound,,,,,284
2440605,Globicephala macrorhynchus,Short-finned Pilot Whale,,,,,277
2417983,Carcharhinus brevipinna,Spinner Shark,https://inaturalist-open-data.s3.amazonaws.com/photos/141413830/large.jpg,https://www.inaturalist.org/observations/85898648,Niall Perrins,cc-by-nc,223
8006460,Anarhichas lupus,Atlantic Wolffish,,,,,120
2420446,Amblyraja radiata,Thorny Skate,,,,,104
5208090,Pomatomus saltatrix,Bluefish,,,,,92
2351244,Salvelinus confluentus,Bull Trout,,,,,89
2440403,Mesoplodon densirostris,Dense-beaked Whale,,,,,71
2415853,Gadus macrocephalus,Pacific Cod,,,,,50
2417970,Carcharhinus limbatus,Common Blacktip Shark,,,,,48
2415893,Microgadus tomcod,Atlantic Tomcod,,,,,42
8236498,Petromyzon marinus,Sea Lamprey,,,,,22
2382906,Pomadasys commersonnii,Small-spotted Grunter,,,,,20
2409370,Parophrys vetulus,English Sole,,,,,14
2373980,Thunnus thynnus,Atlantic Bluefin Tuna,,,,,3
2374268,Scomberomorus maculatus,Atlantic Spanish Mackerel,,,,,2
2417919,Negaprion brevirostris,Lemon Shark,,,,,2
